Timestamp,PM2.5 (µg/m³)
2024-01-01 05:00:00,124.76
2024-01-02 05:00:00,133.32
2024-01-03 05:00:00,119.05
2024-01-04 05:00:00,133.41
2024-01-05 05:00:00,91.91
2024-01-06 05:00:00,125.36
2024-01-07 05:00:00,95.69
2024-01-08 05:00:00,124.05
2024-01-09 05:00:00,117.22
2024-01-10 05:00:00,88.62
2024-01-11 05:00:00,119.78
2024-01-12 05:00:00,117.46
2024-01-13 05:00:00,143.46
2024-01-14 05:00:00,245.5
2024-01-15 05:00:00,198.53
2024-01-16 05:00:00,114.75
2024-01-17 05:00:00,133.66
2024-01-18 05:00:00,67.92
2024-01-19 05:00:00,96.14
2024-01-20 05:00:00,106.87
2024-01-21 05:00:00,160.55
2024-01-22 05:00:00,162.32
2024-01-23 05:00:00,109.43
2024-01-24 05:00:00,192.41
2024-01-25 05:00:00,124.22
2024-01-26 05:00:00,129.98
2024-01-27 05:00:00,179.89
2024-01-28 05:00:00,154.12
2024-01-29 05:00:00,84.92
2024-01-30 05:00:00,154.75
2024-01-31 05:00:00,120.02
2024-02-01 05:00:00,50.08
2024-02-02 05:00:00,103.22
2024-02-03 05:00:00,65.67
2024-02-04 05:00:00,85.34
2024-02-05 05:00:00,59.07
2024-02-06 05:00:00,54.36
2024-02-07 05:00:00,63.61
2024-02-08 05:00:00,63.48
2024-02-09 05:00:00,53.23
2024-02-10 05:00:00,134.04
2024-02-11 05:00:00,134.73
2024-02-12 05:00:00,106.47
2024-02-13 05:00:00,157.19
2024-02-14 05:00:00,123.53
2024-02-15 05:00:00,105.88
2024-02-16 05:00:00,115.56
2024-02-17 05:00:00,115.9
2024-02-18 05:00:00,203.36
2024-02-19 05:00:00,74.73
2024-02-20 05:00:00,118.52
2024-02-21 05:00:00,87.43
2024-02-22 05:00:00,58.89
2024-02-23 05:00:00,63.08
2024-02-24 05:00:00,128.6
2024-02-25 05:00:00,58.83
2024-02-26 05:00:00,44.62
2024-02-27 05:00:00,68.75
2024-02-28 05:00:00,59.74
2024-02-29 05:00:00,55.38
2024-03-01 05:00:00,65.1
2024-03-02 05:00:00,33.98
2024-03-03 05:00:00,63.38
2024-03-04 05:00:00,51.42
2024-03-05 05:00:00,60.84
2024-03-06 05:00:00,57.33
2024-03-07 05:00:00,109.66
2024-03-08 05:00:00,69.7
2024-03-09 05:00:00,68.44
2024-03-10 05:00:00,49.38
2024-03-11 05:00:00,60.55
2024-03-12 05:00:00,94.03
2024-03-13 05:00:00,68.61
2024-03-14 05:00:00,81.95
2024-03-15 05:00:00,44.49
2024-03-16 05:00:00,55.86
2024-03-17 05:00:00,75.11
2024-03-18 05:00:00,73.9
2024-03-19 05:00:00,98.0
2024-03-20 05:00:00,139.72
2024-03-21 05:00:00,94.44
2024-03-22 05:00:00,71.52
2024-03-23 05:00:00,135.01
2024-03-24 05:00:00,108.22
2024-03-25 05:00:00,141.38
2024-03-26 05:00:00,77.07
2024-03-27 05:00:00,102.05
2024-03-28 05:00:00,76.05
2024-03-29 05:00:00,76.26
2024-03-30 05:00:00,118.64
2024-03-31 05:00:00,151.03
2024-04-01 05:00:00,40.84
2024-04-02 05:00:00,89.08
2024-04-03 05:00:00,176.48
2024-04-04 05:00:00,80.66
2024-04-05 05:00:00,82.03
2024-04-06 05:00:00,83.53
2024-04-07 05:00:00,68.27
2024-04-08 05:00:00,123.27
2024-04-09 05:00:00,248.71
2024-04-10 05:00:00,95.21
2024-04-11 05:00:00,107.8
2024-04-12 05:00:00,63.02
2024-04-13 05:00:00,153.43
2024-04-14 05:00:00,52.82
2024-04-15 05:00:00,137.86
2024-04-16 05:00:00,129.54
2024-04-17 05:00:00,51.67
2024-04-18 05:00:00,79.95
2024-04-19 05:00:00,80.7
2024-04-20 05:00:00,122.37
2024-04-21 05:00:00,47.88
2024-04-22 05:00:00,40.81
2024-04-23 05:00:00,79.98
2024-04-24 05:00:00,66.32
2024-04-25 05:00:00,79.44
2024-04-26 05:00:00,103.65
2024-04-27 05:00:00,74.66
2024-04-28 05:00:00,77.44
2024-04-29 05:00:00,123.11
2024-04-30 05:00:00,54.43
2024-05-01 05:00:00,92.41
2024-05-02 05:00:00,79.59
2024-05-03 05:00:00,126.18
2024-05-04 05:00:00,119.64
2024-05-05 05:00:00,69.87
2024-05-06 05:00:00,101.55
2024-05-07 05:00:00,238.36
2024-05-08 05:00:00,301.24
2024-05-09 05:00:00,189.45
2024-05-10 05:00:00,272.45
2024-05-11 05:00:00,88.95
2024-05-12 05:00:00,111.26
2024-05-13 05:00:00,90.28
2024-05-14 05:00:00,100.84
2024-05-15 05:00:00,201.25
2024-05-16 05:00:00,91.42
2024-05-17 05:00:00,150.54
2024-05-18 05:00:00,109.32
2024-05-19 05:00:00,92.1
2024-05-20 05:00:00,63.02
2024-05-21 05:00:00,145.85
2024-05-22 05:00:00,96.71
2024-05-23 05:00:00,37.02
2024-05-24 05:00:00,73.02
2024-05-25 05:00:00,87.56
2024-05-26 05:00:00,96.36
2024-05-27 05:00:00,204.12
2024-05-28 05:00:00,116.64
2024-05-29 05:00:00,202.37
2024-05-30 05:00:00,90.96
2024-05-31 05:00:00,79.29
2024-06-01 05:00:00,76.4
2024-06-02 05:00:00,74.98
2024-06-03 05:00:00,77.86
2024-06-04 05:00:00,55.4
2024-06-05 05:00:00,88.99
2024-06-06 05:00:00,42.9
2024-06-07 05:00:00,117.85
2024-06-08 05:00:00,85.84
2024-06-09 05:00:00,73.73
2024-06-10 05:00:00,76.07
2024-06-11 05:00:00,154.96
